Regiao;Codigo;Total;Crimes.integridade.fisica;Furto.via.publica;Furto.veiculo;Conducao.alcool;Conducao.sem.habilitacao;Crimes.patrimonio
Portugal;PT;32.4;5.1;0.8;3.3;1.8;0.9;16.6
Continente;CONT;32.1;5;0.8;3.4;1.7;0.9;16.6
Norte;NT;28.2;4.9;0.5;4.2;1.4;0.7;14.6
Centro;CT;25.4;4.4;0.3;1.9;1.8;0.7;12.4
Area Metropolitana de Lisboa;AML;38;5.3;1.7;3.9;1.5;1.1;21.6
Alentejo;AL;28.4;5;0.3;1.7;1.7;0.9;13.1
Algarve;ALG;47.7;6.9;1.2;3.8;2.9;1.2;26.9
Regiao Autonoma dos Acores;RAA;36.7;8.5;0.2;1.7;2.4;1.3;15.6
Regiao Autonoma da Madeira;RAM;24.8;6.4;0.6;NA;2.7;0.5;9.4
